2025-04-03 20:58:49 status unpacked systemd:amd64 255.4-1ubuntu8.5
2025-04-03 20:58:49 status half-installed systemd:amd64 255.4-1ubuntu8.5
2025-04-03 20:58:52 status unpacked systemd:amd64 255.4-1ubuntu8.6
2025-04-03 20:58:52 upgrade udev:amd64 255.4-1ubuntu8.5 255.4-1ubuntu8.6
2025-04-03 20:58:52 status triggers-pending initramfs-tools:all 0.142ubuntu25.4
2025-04-03 20:58:52 status half-configured udev:amd64 255.4-1ubuntu8.5
2025-04-03 20:58:52 status unpacked udev:amd64 255.4-1ubuntu8.5
2025-04-03 20:58:52 status half-installed udev:amd64 255.4-1ubuntu8.5
2025-04-03 20:58:54 status unpacked udev:amd64 255.4-1ubuntu8.6
2025-04-03 20:58:54 upgrade libudev1:amd64 255.4-1ubuntu8.5 255.4-1ubuntu8.6
2025-04-03 20:58:54 status half-configured libudev1:amd64 255.4-1ubuntu8.5
2025-04-03 20:58:54 status unpacked libudev1:amd64 255.4-1ubuntu8.5
2025-04-03 20:58:54 status half-installed libudev1:amd64 255.4-1ubuntu8.5
2025-04-03 20:58:54 status unpacked libudev1:amd64 255.4-1ubuntu8.6
2025-04-03 20:58:54 startup packages configure
2025-04-03 20:58:54 configure libudev1:amd64 255.4-1ubuntu8.6 <none>
2025-04-03 20:58:54 status unpacked libudev1:amd64 255.4-1ubuntu8.6
2025-04-03 20:58:54 status half-configured libudev1:amd64 255.4-1ubuntu8.6
2025-04-03 20:58:54 status installed libudev1:amd64 255.4-1ubuntu8.6
2025-04-03 20:58:54 startup archives unpack
2025-04-03 20:58:55 upgrade libdevmapper1.02.1:amd64 2:1.02.185-3ubuntu3.1 2:1.02.185-3ubuntu3.2
2025-04-03 20:58:55 status half-configured libdevmapper1.02.1:amd64 2:1.02.185-3ubuntu3.1
2025-04-03 20:58:55 status unpacked libdevmapper1.02.1:amd64 2:1.02.185-3ubuntu3.1
2025-04-03 20:58:55 status half-installed libdevmapper1.02.1:amd64 2:1.02.185-3ubuntu3.1
2025-04-03 20:58:55 status unpacked libdevmapper1.02.1:amd64 2:1.02.185-3ubuntu3.2
2025-04-03 20:58:55 upgrade libcryptsetup12:amd64 2:2.7.0-1ubuntu4.1 2:2.7.0-1ubuntu4.2
2025-04-03 20:58:55 status half-configured libcryptsetup12:amd64 2:2.7.0-1ubuntu4.1
2025-04-03 20:58:55 status unpacked libcryptsetup12:amd64 2:2.7.0-1ubuntu4.1
2025-04-03 20:58:55 status half-installed libcryptsetup12:amd64 2:2.7.0-1ubuntu4.1
2025-04-03 20:58:55 status unpacked libcryptsetup12:amd64 2:2.7.0-1ubuntu4.2
2025-04-03 20:58:55 upgrade python3-problem-report:all 2.28.1-0ubuntu3.3 2.28.1-0ubuntu3.5
